chunk,Question,Option_A,Option_B,Option_C,Option_D,Answer_Key
"دراسة تنوع الحياة

درس العالم المسلم ابن سينا (371-428 هـ) النباتات، ووصفها وصفاً دقيقاً،
مقارناً كل نبتة بما يشبهها، وأورد تراكيبها الأساسية من جذور وساق وأوراق
وأزهار وثمار. أما في علم الحيوان فقد وصف أنواعاً مختلفة من الطيور وسائر
الحيوانات، وهذه الدراسات وغيرها أسهمت في فهم أعمق للنباتات والحيوانات،
وساعدت علماء الأحياء على معرفة خصائص المخلوقات الحية وصفاتها.

البحث في الأمراض",أي من المجالات التالية ساهم فيها ابن سينا بشكل كبير؟,علم الفلك,علم الأحياء,علم الكيمياء,علم الرياضيات,B
"دراسة تنوع الحياة

درس العالم المسلم ابن سينا (371-428 هـ) النباتات، ووصفها وصفاً دقيقاً،
مقارناً كل نبتة بما يشبهها، وأورد تراكيبها الأساسية من جذور وساق وأوراق
وأزهار وثمار. أما في علم الحيوان فقد وصف أنواعاً مختلفة من الطيور وسائر
الحيوانات، وهذه الدراسات وغيرها أسهمت في فهم أعمق للنباتات والحيوانات،
وساعدت علماء الأحياء على معرفة خصائص المخلوقات الحية وصفاتها.

البحث في الأمراض",ما هي أهمية دراسات ابن سينا في علم الأحياء؟,ساعدت على فهم خصائص المخلوقات الحية وصفاتها,أدت إلى اكتشاف لقاحات جديدة,تسببت في تطوير تقنيات الزراعة الحديثة,ساهمت في دراسة الفضاء والكواكب,A
"درس العالم المسلم ابن البيطار (575-646 هـ) النباتات وجمع عينات لبعضها،
وسماها، ووصفها وصفاً ظاهرياً دقيقاً وعلمياً في كتابه (المغني في الأدوية
المفردة) في العقاقير. ويعد أبو بكر الرازي (250-311 هـ) أول من كتب وصفاً
للجدري والحصبة، واكتشف الميكروبات المسببة للمرض. ما الذي يسبب المرض؟
وكيف يقاوم الجسم المرض؟ وكيف ينتشر المرض؟ مثل هذه الأسئلة هو ما يوجه
بحوث علماء الأحياء وجهتها الصحيحة. لقد طور علماء الأحياء لقاحات للجدري
والدفتيريا ولأمراض أخرى، وهم يعملون الآن على تطوير لقاحات ضد مرض الإيدز،",من هو العالم المسلم الذي كتب عن النباتات ووصفها في كتابه (المغني في الأدوية المفردة)؟,ابن البيطار,أبو بكر الرازي,ابن سينا,ابن رشد,A
"درس العالم المسلم ابن البيطار (575-646 هـ) النباتات وجمع عينات لبعضها،
وسماها، ووصفها وصفاً ظاهرياً دقيقاً وعلمياً في كتابه (المغني في الأدوية
المفردة) في العقاقير. ويعد أبو بكر الرازي (250-311 هـ) أول من كتب وصفاً
للجدري والحصبة، واكتشف الميكروبات المسببة للمرض. ما الذي يسبب المرض؟
وكيف يقاوم الجسم المرض؟ وكيف ينتشر المرض؟ مثل هذه الأسئلة هو ما يوجه
بحوث علماء الأحياء وجهتها الصحيحة. لقد طور علماء الأحياء لقاحات للجدري
والدفتيريا ولأمراض أخرى، وهم يعملون الآن على تطوير لقاحات ضد مرض الإيدز،",أي من الأمراض التالية تم اكتشاف الميكروبات المسببة لها بواسطة أبو بكر الرازي؟,الجدري,الملاريا,الأنفلونزا,الإيدز,A
"درس العالم المسلم ابن البيطار (575-646 هـ) النباتات وجمع عينات لبعضها،
وسماها، ووصفها وصفاً ظاهرياً دقيقاً وعلمياً في كتابه (المغني في الأدوية
المفردة) في العقاقير. ويعد أبو بكر الرازي (250-311 هـ) أول من كتب وصفاً
للجدري والحصبة، واكتشف الميكروبات المسببة للمرض. ما الذي يسبب المرض؟
وكيف يقاوم الجسم المرض؟ وكيف ينتشر المرض؟ مثل هذه الأسئلة هو ما يوجه
بحوث علماء الأحياء وجهتها الصحيحة. لقد طور علماء الأحياء لقاحات للجدري
والدفتيريا ولأمراض أخرى، وهم يعملون الآن على تطوير لقاحات ضد مرض الإيدز،",ما هي اللقاحات التي يعمل علماء الأحياء على تطويرها حالياً؟,لقاحات ضد الجدري والأنفلونزا,لقاحات ضد الدفتيريا والإيدز,لقاحات ضد الجدري والدفتيريا والإيدز,لقاحات ضد الحصبة والملاريا,C
"والسكري، وأنفلونزا الطيور، وأنفلونزا الخنازير، كما يوجه علماء الأحياء
أبحاثهم تجاه معالجة الإدمان على المخدرات، وإصابات الحبل الشوكي التي تسبب
الشلل، وعلى إيجاد أدوية تخفض مستوى الكوليسترول، وتحدّ من البدانة، وتقلل
من خطر الإصابة بالجلطات، وتقي من مرض الزهايمر.",ما هو أحد الأبحاث التي يوجه علماء الأحياء جهودهم نحوها؟,معالجة الإدمان على المخدرات,تطوير تكنولوجيا المعلومات,تحسين تقنيات الزراعة,تصميم الروبوتات,A
"والسكري، وأنفلونزا الطيور، وأنفلونزا الخنازير، كما يوجه علماء الأحياء
أبحاثهم تجاه معالجة الإدمان على المخدرات، وإصابات الحبل الشوكي التي تسبب
الشلل، وعلى إيجاد أدوية تخفض مستوى الكوليسترول، وتحدّ من البدانة، وتقلل
من خطر الإصابة بالجلطات، وتقي من مرض الزهايمر.",أي من الأمراض التالية يُعتبر من المخاطر الصحية التي يسعى العلماء للوقاية منها؟,مرض الزهايمر,السكري,الأنفلونزا الموسمية,التهاب اللوزتين,A
"والسكري، وأنفلونزا الطيور، وأنفلونزا الخنازير، كما يوجه علماء الأحياء
أبحاثهم تجاه معالجة الإدمان على المخدرات، وإصابات الحبل الشوكي التي تسبب
الشلل، وعلى إيجاد أدوية تخفض مستوى الكوليسترول، وتحدّ من البدانة، وتقلل
من خطر الإصابة بالجلطات، وتقي من مرض الزهايمر.",ما هي إحدى الطرق التي قد تساعد في تقليل خطر الإصابة بالجلطات؟,تناول أدوية تخفض مستوى الكوليسترول,زيادة تناول السكر,التدخين,عدم ممارسة الرياضة,A
"تطوير التقنيات

لا تعني كلمة التقنية أجهزة الحاسوب العالية السرعة فقط، بل تعرف بأنها
تطبيق المعرفة العلمية لتلبية احتياجات الإنسان، وزيادة إمكاناته. ويبين
الشكل 1-2 كيف تستطيع تقنية اليد الاصطناعية تعويض شخص فقد ذراعه. كذلك طور
الطبيب تشارلز درو طرائق لفصل بلازما الدم عن خلاياه، وتخزينها بشكل آمن،
ونقل البلازما إلى أشخاص يحتاجون إليها. وقد قادت بحوثه إلى إنشاء بنوك
الدم التي جعلها الله تعالى سبباً لإنقاذ ما لا يحصى من المرضى والمصابين.

تحسين الزراعة",ما هي التقنية التي طورها الطبيب تشارلز درو؟,تقنية الزراعة,تقنية فصل بلازما الدم,تقنية اليد الاصطناعية,تقنية أجهزة الحاسوب,B
"تطوير التقنيات

لا تعني كلمة التقنية أجهزة الحاسوب العالية السرعة فقط، بل تعرف بأنها
تطبيق المعرفة العلمية لتلبية احتياجات الإنسان، وزيادة إمكاناته. ويبين
الشكل 1-2 كيف تستطيع تقنية اليد الاصطناعية تعويض شخص فقد ذراعه. كذلك طور
الطبيب تشارلز درو طرائق لفصل بلازما الدم عن خلاياه، وتخزينها بشكل آمن،
ونقل البلازما إلى أشخاص يحتاجون إليها. وقد قادت بحوثه إلى إنشاء بنوك
الدم التي جعلها الله تعالى سبباً لإنقاذ ما لا يحصى من المرضى والمصابين.

تحسين الزراعة",ما هو الهدف الرئيسي من تطوير التقنيات وفقًا للنص؟,تلبية احتياجات الإنسان وزيادة إمكاناته,إنشاء بنوك الدم فقط,تطوير أجهزة الحاسوب فقط,تحسين الزراعة فقط,A
"تطوير التقنيات

لا تعني كلمة التقنية أجهزة الحاسوب العالية السرعة فقط، بل تعرف بأنها
تطبيق المعرفة العلمية لتلبية احتياجات الإنسان، وزيادة إمكاناته. ويبين
الشكل 1-2 كيف تستطيع تقنية اليد الاصطناعية تعويض شخص فقد ذراعه. كذلك طور
الطبيب تشارلز درو طرائق لفصل بلازما الدم عن خلاياه، وتخزينها بشكل آمن،
ونقل البلازما إلى أشخاص يحتاجون إليها. وقد قادت بحوثه إلى إنشاء بنوك
الدم التي جعلها الله تعالى سبباً لإنقاذ ما لا يحصى من المرضى والمصابين.

تحسين الزراعة",ما هو مفهوم التقنية كما ورد في النص؟,أجهزة حاسوب عالية السرعة فقط,تطبيق المعرفة العلمية,تكنولوجيا المعلومات فقط,أدوات الزراعة الحديثة,B
"يعمل علماء الأحياء على دراسة الهندسة الوراثية للنباتات وما تتيحه من
إمكانية جعل النباتات تنمو في تربة غير خصبة، أو تقاوم الحشرات والأمراض
الفطرية أو تتحمل الظروف المناخية الصعبة. وبحث علماء أحياء آخرون في زيادة
إنتاج الغذاء استجابة للأعداد المتزايدة من الناس. ويدرس آخرون حساسية
النباتات للضوء واستجابتها عند تعرضها لمصادر ضوء مختلفة ولترات مختلفة
الشكل 1-3. إن العمل في مجال الهرمونات النباتية وتأثيرات الضوء يمكن علماء
الزراعة من زيادة إنتاج الغذاء، ولإنتاج محاصيل في أراضٍ لم تكن لتنمو فيها",ما هو الهدف من دراسة الهندسة الوراثية للنباتات؟,جعل النباتات تنمو في تربة خصبة,زيادة إنتاج الغذاء,مقاومة الحشرات والأمراض الفطرية,تغيير لون الزهور,B
"يعمل علماء الأحياء على دراسة الهندسة الوراثية للنباتات وما تتيحه من
إمكانية جعل النباتات تنمو في تربة غير خصبة، أو تقاوم الحشرات والأمراض
الفطرية أو تتحمل الظروف المناخية الصعبة. وبحث علماء أحياء آخرون في زيادة
إنتاج الغذاء استجابة للأعداد المتزايدة من الناس. ويدرس آخرون حساسية
النباتات للضوء واستجابتها عند تعرضها لمصادر ضوء مختلفة ولترات مختلفة
الشكل 1-3. إن العمل في مجال الهرمونات النباتية وتأثيرات الضوء يمكن علماء
الزراعة من زيادة إنتاج الغذاء، ولإنتاج محاصيل في أراضٍ لم تكن لتنمو فيها",كيف يمكن أن تؤثر الهرمونات النباتية على إنتاج الغذاء؟,تزيد من حساسية النباتات للضوء,تساعد في إنتاج محاصيل في أراضٍ غير خصبة,تقلل من مقاومة النباتات للأمراض,تؤدي إلى نمو النباتات في بيئات رطبة فقط,B
"يعمل علماء الأحياء على دراسة الهندسة الوراثية للنباتات وما تتيحه من
إمكانية جعل النباتات تنمو في تربة غير خصبة، أو تقاوم الحشرات والأمراض
الفطرية أو تتحمل الظروف المناخية الصعبة. وبحث علماء أحياء آخرون في زيادة
إنتاج الغذاء استجابة للأعداد المتزايدة من الناس. ويدرس آخرون حساسية
النباتات للضوء واستجابتها عند تعرضها لمصادر ضوء مختلفة ولترات مختلفة
الشكل 1-3. إن العمل في مجال الهرمونات النباتية وتأثيرات الضوء يمكن علماء
الزراعة من زيادة إنتاج الغذاء، ولإنتاج محاصيل في أراضٍ لم تكن لتنمو فيها",ما هي إحدى الطرق التي يمكن أن تساعد بها الهندسة الوراثية النباتات؟,تقليل تنوع المحاصيل,تطوير نباتات تتحمل الظروف المناخية الصعبة,زيادة استهلاك المياه,إنتاج نباتات بدون جذور,B
"حماية البيئة

يطور علماء البيئة طرائق للحفاظ على أنواع عديدة من النباتات والحيوانات و
حمايتها من الانقراض، ومن ذلك دراسة آليات تكاثر الأنواع المهددة بالانقراض
في المحميات الطبيعية، كما في محمية الإمام سعود بن عبدالعزيز (محازة الصيد
سابقا) ومحمية الوعول بالمملكة العربية السعودية؛ لتوفير مكان آمن لمعيشتها
وتكاثرها.

خصائص الحياة The Characteristics of Life",ما الهدف من دراسة آليات تكاثر الأنواع المهددة بالانقراض؟,لتوفير مكان آمن لمعيشتها وتكاثرها,لزيادة عدد الأنواع في المحميات,لتحسين جودة الهواء في المناطق المحمية,لتحقيق مكاسب اقتصادية من السياحة البيئية,A
"حماية البيئة

يطور علماء البيئة طرائق للحفاظ على أنواع عديدة من النباتات والحيوانات و
حمايتها من الانقراض، ومن ذلك دراسة آليات تكاثر الأنواع المهددة بالانقراض
في المحميات الطبيعية، كما في محمية الإمام سعود بن عبدالعزيز (محازة الصيد
سابقا) ومحمية الوعول بالمملكة العربية السعودية؛ لتوفير مكان آمن لمعيشتها
وتكاثرها.

خصائص الحياة The Characteristics of Life",ما اسم المحمية التي تم ذكرها كمثال لحماية الأنواع المهددة بالانقراض؟,محمية الإمام سعود بن عبدالعزيز,محمية الوعول,محمية الملك عبد الله,محمية الغابات الاستوائية,A
"حماية البيئة

يطور علماء البيئة طرائق للحفاظ على أنواع عديدة من النباتات والحيوانات و
حمايتها من الانقراض، ومن ذلك دراسة آليات تكاثر الأنواع المهددة بالانقراض
في المحميات الطبيعية، كما في محمية الإمام سعود بن عبدالعزيز (محازة الصيد
سابقا) ومحمية الوعول بالمملكة العربية السعودية؛ لتوفير مكان آمن لمعيشتها
وتكاثرها.

خصائص الحياة The Characteristics of Life",ما هي إحدى الطرق التي يستخدمها علماء البيئة لحماية الأنواع؟,زيادة الصيد الجائر,دراسة آليات تكاثر الأنواع المهددة,تدمير المواطن الطبيعية,تجاهل التغيرات المناخية,B
"هل حاولت يوما تعريف كلمة (حي)؟ عندما ترى صقرا يصطاد أرنبا تستنتج أن كلا
من الصقر والأرنب مخلوق حي. لكن هل النار مخلوق حي؟ إنها تتحرك وتكبر
أحيانا، ولها طاقة، وتبدو كما لو أنها تتكاثر. فيم تختلف النار عن الصقر
والأرنب؟ لقد استنتج علماء الأحياء أن المخلوق الحي organism له الخصائص
الآتية الموضحة في الجدول 1-1:

١- مكون من خلية أو أكثر :Made of one or more cells",ما هي الخاصية الأساسية التي تميز الكائن الحي عن الأشياء غير الحية؟,تكونه من خلية واحدة أو أكثر,قدرته على الحركة,وجود طاقة فيه,قدرته على التكاثر,A
"هل حاولت يوما تعريف كلمة (حي)؟ عندما ترى صقرا يصطاد أرنبا تستنتج أن كلا
من الصقر والأرنب مخلوق حي. لكن هل النار مخلوق حي؟ إنها تتحرك وتكبر
أحيانا، ولها طاقة، وتبدو كما لو أنها تتكاثر. فيم تختلف النار عن الصقر
والأرنب؟ لقد استنتج علماء الأحياء أن المخلوق الحي organism له الخصائص
الآتية الموضحة في الجدول 1-1:

١- مكون من خلية أو أكثر :Made of one or more cells",أي من الكائنات التالية يعتبر مخلوقًا حيًا؟,النار,الصقر,الصخور,الهواء,B
"هل حاولت يوما تعريف كلمة (حي)؟ عندما ترى صقرا يصطاد أرنبا تستنتج أن كلا
من الصقر والأرنب مخلوق حي. لكن هل النار مخلوق حي؟ إنها تتحرك وتكبر
أحيانا، ولها طاقة، وتبدو كما لو أنها تتكاثر. فيم تختلف النار عن الصقر
والأرنب؟ لقد استنتج علماء الأحياء أن المخلوق الحي organism له الخصائص
الآتية الموضحة في الجدول 1-1:

١- مكون من خلية أو أكثر :Made of one or more cells",ما هو العنصر المشترك بين الصقر والأرنب كمخلوقات حية؟,كلاهما يتحرك,كلاهما يتكون من خلايا,كلاهما يتكاثر,كلاهما يحتوي على طاقة,B
"إذا كنت قد أصبت يوما بالتهاب الحلق فغالبا ما يكون السبب بكتيريا عقدية من
النوع المبين في الشكل 1-4. البكتيريا مخلوق حي و وحيد الخلية، لكن الإنسان
والنباتات مخلوقات حية عديدة الخلايا؛ فأجسامها تتكون من عدد كبير من
الخلايا، ولكنها جميعا يتوافر لديها كل خصائص الحياة. تعد الخلايا وحدات
التركيب والوظيفة في المخلوقات الحية؛ فكل خلية في القلب مثلا لها تركيب
خاص يمكنها من أداء وظيفة معينة في القلب، كما أن الخلية في جذر الشجرة لها
تركيب يمكنها من تثبيت الشجرة في الأرض، وامتصاص الماء والأملاح المعدنية.",ما هو نوع الكائنات الحية التي تسبب التهاب الحلق غالبا؟,بكتيريا عقدية,فيروسات,فطريات,طحالب,A
"إذا كنت قد أصبت يوما بالتهاب الحلق فغالبا ما يكون السبب بكتيريا عقدية من
النوع المبين في الشكل 1-4. البكتيريا مخلوق حي و وحيد الخلية، لكن الإنسان
والنباتات مخلوقات حية عديدة الخلايا؛ فأجسامها تتكون من عدد كبير من
الخلايا، ولكنها جميعا يتوافر لديها كل خصائص الحياة. تعد الخلايا وحدات
التركيب والوظيفة في المخلوقات الحية؛ فكل خلية في القلب مثلا لها تركيب
خاص يمكنها من أداء وظيفة معينة في القلب، كما أن الخلية في جذر الشجرة لها
تركيب يمكنها من تثبيت الشجرة في الأرض، وامتصاص الماء والأملاح المعدنية.",ما هي الوحدة الأساسية للتركيب والوظيفة في المخلوقات الحية؟,الخلية,الأنسجة,الأعضاء,الأجهزة,A
"إذا كنت قد أصبت يوما بالتهاب الحلق فغالبا ما يكون السبب بكتيريا عقدية من
النوع المبين في الشكل 1-4. البكتيريا مخلوق حي و وحيد الخلية، لكن الإنسان
والنباتات مخلوقات حية عديدة الخلايا؛ فأجسامها تتكون من عدد كبير من
الخلايا، ولكنها جميعا يتوافر لديها كل خصائص الحياة. تعد الخلايا وحدات
التركيب والوظيفة في المخلوقات الحية؛ فكل خلية في القلب مثلا لها تركيب
خاص يمكنها من أداء وظيفة معينة في القلب، كما أن الخلية في جذر الشجرة لها
تركيب يمكنها من تثبيت الشجرة في الأرض، وامتصاص الماء والأملاح المعدنية.",ما هو التركيب الخاص الذي يجعل الخلية في جذر الشجرة قادرة على امتصاص الماء؟,الشعيرات الجذرية,الكلوروفيل,السيتوبلازم,الأنسجة الداعمة,A
"إن الأشخاص الذين تراهم في مدرستك كل يوم موزعون ومنظمون بناءً على أساس
الوظائف التي يؤدونها أو الأدوار التي يقومون بها، أو على أساس الصفات
المشتركة بينهم. فهناك طلاب ومعلمون وإداريون وعمال نظافة. والطلاب بدورهم
يتنظمون في مجموعات بحسب المرحلة الدراسية أو القسم الذي يدرسون فيه.
والمخلوقات الحية كذلك تظهر تنظيماً organization، أي أنها تترتب بشكل منظم.
فالبراميسيوم الموضح في الجدول 1-1 مكون من خلية واحدة تضم مجموعة من
التراكيب تنجز الوظائف الحيوية له. وكل واحد من هذه التراكيب مكون من ذرات",ما هي الطريقة التي يتم بها تنظيم الأشخاص في المدرسة؟,حسب الوظائف التي يقومون بها,حسب أعمارهم فقط,حسب الأماكن التي يجلسون فيها,حسب ألوان الملابس التي يرتدونها,A
"إن الأشخاص الذين تراهم في مدرستك كل يوم موزعون ومنظمون بناءً على أساس
الوظائف التي يؤدونها أو الأدوار التي يقومون بها، أو على أساس الصفات
المشتركة بينهم. فهناك طلاب ومعلمون وإداريون وعمال نظافة. والطلاب بدورهم
يتنظمون في مجموعات بحسب المرحلة الدراسية أو القسم الذي يدرسون فيه.
والمخلوقات الحية كذلك تظهر تنظيماً organization، أي أنها تترتب بشكل منظم.
فالبراميسيوم الموضح في الجدول 1-1 مكون من خلية واحدة تضم مجموعة من
التراكيب تنجز الوظائف الحيوية له. وكل واحد من هذه التراكيب مكون من ذرات",ما هي الوحدة الأساسية التي يتكون منها البراميسيوم؟,مجموعة من الخلايا,خلايا متعددة,خلية واحدة,نسيج حيوي,C
"إن الأشخاص الذين تراهم في مدرستك كل يوم موزعون ومنظمون بناءً على أساس
الوظائف التي يؤدونها أو الأدوار التي يقومون بها، أو على أساس الصفات
المشتركة بينهم. فهناك طلاب ومعلمون وإداريون وعمال نظافة. والطلاب بدورهم
يتنظمون في مجموعات بحسب المرحلة الدراسية أو القسم الذي يدرسون فيه.
والمخلوقات الحية كذلك تظهر تنظيماً organization، أي أنها تترتب بشكل منظم.
فالبراميسيوم الموضح في الجدول 1-1 مكون من خلية واحدة تضم مجموعة من
التراكيب تنجز الوظائف الحيوية له. وكل واحد من هذه التراكيب مكون من ذرات",ما هي الصفات المشتركة بين الطلاب في المدرسة؟,المرحلة الدراسية أو القسم,الطول والوزن,الاهتمامات الشخصية,اللغة الأم,A
"وجزيئات، وكذلك تحتوي الخلايا العديدة التي تكون جنين الطائر - المبين في
الشكل 1-5 - على تراكيب مكونة من ذرات وجزيئات أيضاً. وهكذا فإن الخلايا
المتخصصة تنظم في مجموعات تعمل معاً، يسمى أنسجة، والأنسجة منظمة في أعضاء
تؤدي وظائف متخصصة، والأعضاء منظمة في أجهزة تؤدي وظائف مختلفة، منها الهضم
و التكاثر. و تعمل الأجهزة معاً على بقاء المخلوق الحي.",ما هو الاسم الذي يُطلق على المجموعات المتخصصة من الخلايا التي تعمل معاً؟,أعضاء,أنسجة,أجهزة,جزيئات,B
